record_id,employee_id,year,performance_score,projects_completed,training_hours,attendance_rate_percent,bonus_awarded
135,27,2025,4.68,6,88,91.25,No
136,28,2021,3.85,7,27,87.76,Yes
137,28,2022,3.38,9,33,85.24,Yes
138,28,2023,4.05,6,37,98.23,No
139,28,2024,3.59,9,39,88.98,No
140,28,2025,3.90,1,15,88.76,No
141,29,2021,4.45,6,40,94.92,No
142,29,2022,4.12,6,23,89.99,No
143,29,2023,4.42,3,38,92.14,Yes
144,29,2024,4.48,4,20,85.27,No
145,29,2025,4.60,8,30,88.88,No
146,30,2021,3.56,4,96,92.22,Yes
147,30,2022,3.77,7,75,85.10,Yes
148,30,2023,3.93,2,74,96.21,No
149,30,2024,3.65,3,78,89.86,No
150,30,2025,3.94,6,79,85.03,Yes
151,31,2021,4.61,4,42,92.38,Yes
152,31,2022,4.40,2,56,85.12,Yes
153,31,2023,4.48,8,71,92.63,Yes
154,31,2024,4.21,3,63,94.68,No
155,31,2025,4.38,5,67,96.03,Yes
156,32,2021,3.18,2,47,87.88,Yes
157,32,2022,3.18,10,47,94.94,No
158,32,2023,3.07,6,37,86.28,Yes
159,32,2024,3.24,6,49,91.70,No
160,32,2025,3.30,9,31,98.79,Yes
161,33,2021,2.82,2,45,91.92,No
162,33,2022,2.57,8,50,98.03,No
163,33,2023,2.98,1,29,96.43,No
164,33,2024,2.77,3,25,90.66,Yes
165,33,2025,2.69,8,40,94.20,No
166,34,2021,3.82,6,40,85.16,Yes
167,34,2022,3.57,1,61,90.04,No
168,34,2023,4.04,5,61,92.79,Yes
169,34,2024,3.74,9,54,95.57,No
170,34,2025,3.99,10,47,96.60,Yes
171,35,2021,3.47,4,71,95.32,No
172,35,2022,3.68,3,47,88.14,Yes
173,35,2023,3.93,4,50,89.83,Yes
174,35,2024,3.67,7,54,93.37,No
175,35,2025,3.89,1,71,94.22,No
176,36,2021,2.26,7,74,98.77,No
177,36,2022,2.38,2,72,96.97,Yes
178,36,2023,2.54,9,45,94.36,No
179,36,2024,2.57,8,67,93.28,No
180,36,2025,2.80,6,63,86.73,Yes
181,37,2021,3.37,10,69,88.50,Yes
182,37,2022,4.04,7,94,85.67,No
183,37,2023,3.93,8,85,97.85,Yes
184,37,2024,3.60,4,82,90.06,No
185,37,2025,4.06,4,73,97.19,No
186,38,2021,3.73,2,79,89.96,No
187,38,2022,3.21,10,80,97.95,Yes
188,38,2023,3.33,9,64,95.73,No
189,38,2024,3.61,6,71,86.92,Yes
190,38,2025,3.08,10,72,85.56,Yes
191,39,2021,4.07,2,47,97.34,Yes
192,39,2022,4.13,8,38,98.78,No
193,39,2023,3.95,2,48,88.79,Yes
194,39,2024,3.78,4,59,86.93,No
195,39,2025,4.33,5,54,86.09,No
196,40,2021,3.37,9,69,89.97,Yes
197,40,2022,2.91,2,64,96.86,No
198,40,2023,2.73,1,92,93.64,No
199,40,2024,3.33,2,67,95.69,No
200,40,2025,3.37,10,68,88.99,Yes
201,41,2021,4.35,4,71,95.00,Yes
202,41,2022,4.65,1,89,91.32,No
203,41,2023,4.33,1,81,91.37,No
204,41,2024,4.69,9,76,88.82,No
205,41,2025,4.65,2,79,93.38,No
206,42,2021,4.22,2,33,87.46,Yes
207,42,2022,4.21,2,47,95.40,No
208,42,2023,4.43,9,34,97.10,No
209,42,2024,4.62,4,37,97.21,No
210,42,2025,4.23,1,54,92.13,Yes
211,43,2021,3.83,8,70,88.09,No
212,43,2022,4.04,3,79,90.07,No
213,43,2023,4.05,1,92,86.01,No
214,43,2024,3.65,7,96,98.82,Yes
215,43,2025,3.66,4,90,97.41,Yes
216,44,2021,4.06,1,46,85.33,Yes
217,44,2022,4.46,5,47,86.29,No
218,44,2023,4.38,1,52,90.89,No
219,44,2024,3.96,2,39,92.40,No
220,44,2025,4.06,7,48,90.98,No
221,45,2021,4.55,3,79,86.43,Yes
222,45,2022,4.61,10,71,95.79,Yes
223,45,2023,4.23,2,81,89.59,No
224,45,2024,4.55,6,81,94.28,Yes
225,45,2025,4.86,7,77,96.07,Yes
226,46,2021,4.31,6,52,86.94,Yes
227,46,2022,4.25,5,50,98.11,Yes
228,46,2023,4.14,10,40,85.95,Yes
229,46,2024,4.15,2,54,85.95,Yes
230,46,2025,4.50,1,50,95.07,No
231,47,2021,2.85,9,59,92.78,No
232,47,2022,2.89,1,62,94.81,No
233,47,2023,3.42,8,63,99.10,Yes
234,47,2024,2.75,5,75,95.66,No
235,47,2025,2.68,3,73,93.03,No
236,48,2021,2.48,9,10,86.26,No
237,48,2022,2.55,7,19,97.13,Yes
238,48,2023,2.56,2,20,92.37,Yes
239,48,2024,2.24,2,17,92.48,No
240,48,2025,2.97,7,11,98.60,No
241,49,2021,4.53,3,43,92.60,Yes
242,49,2022,4.36,5,23,96.90,Yes
243,49,2023,4.09,9,40,96.64,No
244,49,2024,4.29,1,27,90.82,No
245,49,2025,4.19,8,29,89.20,No
246,50,2021,3.09,9,64,94.41,No
247,50,2022,3.17,4,83,87.47,No
248,50,2023,2.92,9,71,94.48,Yes
249,50,2024,2.99,5,75,96.62,Yes
250,50,2025,2.86,6,77,93.66,Yes
251,51,2021,4.73,10,42,97.29,Yes
252,51,2022,4.33,2,40,89.55,No
253,51,2023,4.71,9,23,94.43,No
254,51,2024,4.94,3,35,85.99,Yes
255,51,2025,4.92,1,27,95.03,No
256,52,2021,3.53,10,69,88.67,No
257,52,2022,3.58,8,96,88.87,No
258,52,2023,3.34,6,92,91.67,Yes
259,52,2024,3.64,2,75,99.85,Yes
260,52,2025,3.33,9,90,85.76,No
261,53,2021,4.62,8,75,87.64,No
262,53,2022,4.04,2,59,95.21,No
263,53,2023,4.40,3,82,90.97,No
264,53,2024,4.08,5,87,86.98,No
265,53,2025,4.29,5,82,93.23,No
266,54,2021,4.35,7,29,89.61,Yes
267,54,2022,4.80,6,29,96.10,No
268,54,2023,4.43,5,32,88.94,Yes
269,54,2024,4.81,6,41,95.96,No
270,54,2025,4.23,7,54,90.36,No
271,55,2021,2.31,10,33,88.18,No
272,55,2022,2.85,4,56,96.60,No
273,55,2023,2.55,3,31,98.79,Yes
274,55,2024,2.89,8,30,93.98,Yes
275,55,2025,2.93,5,49,98.26,No
276,56,2021,2.71,4,15,98.45,No
277,56,2022,2.94,4,37,86.66,No
278,56,2023,3.22,3,27,98.71,Yes
279,56,2024,3.10,4,29,94.81,No
280,56,2025,2.65,7,27,99.67,No
281,57,2021,3.70,6,50,93.15,Yes
282,57,2022,3.46,10,52,93.78,No
283,57,2023,3.01,2,66,92.65,No
284,57,2024,3.18,8,64,99.98,Yes
285,57,2025,3.22,4,62,89.80,No
286,58,2021,4.71,6,62,94.35,No
287,58,2022,4.21,2,44,88.34,Yes
288,58,2023,4.32,2,49,98.47,No
289,58,2024,4.31,4,53,87.59,No
290,58,2025,4.36,9,65,92.84,Yes
291,59,2021,4.12,7,79,89.08,Yes
292,59,2022,4.28,10,68,97.84,Yes
293,59,2023,4.26,6,90,97.44,No
294,59,2024,4.36,7,85,89.99,No
295,59,2025,4.84,1,77,93.48,Yes
296,60,2021,3.92,6,67,85.12,No
297,60,2022,3.88,3,71,90.02,No
298,60,2023,3.81,10,76,95.79,Yes
299,60,2024,3.75,3,67,92.31,No
300,60,2025,3.32,3,83,86.80,Yes
301,61,2021,3.61,8,44,89.59,No
302,61,2022,3.57,2,51,87.52,No
303,61,2023,3.52,1,46,95.55,Yes
304,61,2024,3.15,9,55,99.63,Yes
305,61,2025,3.26,2,52,91.39,Yes
306,62,2021,3.82,1,86,85.21,No
307,62,2022,3.88,9,69,88.26,No
308,62,2023,3.15,1,93,90.36,Yes
309,62,2024,3.69,9,79,95.00,No
310,62,2025,3.38,9,78,87.09,Yes
311,63,2021,2.26,8,25,96.52,No
312,63,2022,2.32,9,49,87.19,No
313,63,2023,2.28,7,45,85.11,Yes
314,63,2024,2.93,1,28,96.02,Yes
315,63,2025,2.95,3,53,96.68,No
316,64,2021,3.94,9,39,89.17,No
317,64,2022,3.80,5,39,86.71,Yes
318,64,2023,3.99,6,45,96.77,Yes
319,64,2024,3.89,8,22,89.92,No
320,64,2025,3.97,7,21,99.87,Yes
321,65,2021,3.60,4,40,90.39,Yes
322,65,2022,3.70,8,38,97.30,No
323,65,2023,3.16,5,47,95.87,No
324,65,2024,3.11,4,35,92.25,Yes
325,65,2025,3.28,3,53,92.55,Yes
326,66,2021,4.52,6,45,97.91,Yes
327,66,2022,4.19,9,59,97.68,No
328,66,2023,4.58,10,56,99.43,Yes
329,66,2024,4.41,7,57,85.50,No
330,66,2025,4.70,5,56,88.92,No
331,67,2021,3.98,2,61,91.06,No
332,67,2022,3.78,7,61,98.67,Yes
333,67,2023,3.60,1,44,92.60,Yes
334,67,2024,3.64,2,33,85.87,No
335,67,2025,4.20,1,56,86.23,Yes
336,68,2021,4.01,2,14,85.39,Yes
337,68,2022,3.94,1,31,92.10,No
338,68,2023,3.90,8,34,86.83,Yes
339,68,2024,4.12,6,30,97.43,No
340,68,2025,4.26,4,24,97.88,No
341,69,2021,3.67,5,46,99.98,No
342,69,2022,3.73,2,66,91.75,No
343,69,2023,4.00,3,69,88.10,Yes
344,69,2024,3.98,1,67,93.32,Yes
345,69,2025,4.09,1,51,91.40,Yes
346,70,2021,2.96,3,42,87.60,Yes
347,70,2022,2.68,1,23,87.36,Yes
348,70,2023,2.60,1,42,96.95,Yes
349,70,2024,2.74,1,31,94.57,Yes
350,70,2025,3.38,3,25,97.97,Yes
351,71,2021,2.83,5,63,86.49,Yes
352,71,2022,3.50,1,80,91.44,No
353,71,2023,3.28,3,79,86.59,No
354,71,2024,2.96,7,64,93.78,Yes
355,71,2025,3.34,3,66,94.26,Yes
356,72,2021,4.34,1,38,89.63,Yes
357,72,2022,4.62,5,53,95.61,Yes
358,72,2023,4.45,4,64,97.82,No
359,72,2024,4.50,4,65,85.51,No
360,72,2025,4.11,2,47,96.53,Yes
361,73,2021,4.07,3,72,97.88,No
362,73,2022,4.19,6,67,96.71,Yes
363,73,2023,4.24,5,57,87.48,No
364,73,2024,4.00,8,52,88.67,Yes
365,73,2025,4.51,4,55,86.65,No
366,74,2021,4.01,7,52,85.33,Yes
367,74,2022,3.70,10,69,91.46,No
368,74,2023,4.10,4,47,95.23,No
369,74,2024,4.19,9,50,96.40,No
370,74,2025,4.26,3,57,93.26,No
371,75,2021,4.32,8,78,99.55,No
372,75,2022,4.29,9,59,93.46,Yes
373,75,2023,4.24,9,71,86.37,No
374,75,2024,4.31,4,73,85.34,No
375,75,2025,4.55,1,78,90.35,No
376,76,2021,3.99,6,41,90.18,Yes
377,76,2022,4.03,2,39,94.96,No
378,76,2023,4.06,7,44,91.09,No
379,76,2024,4.15,8,29,89.06,No
380,76,2025,4.00,8,31,87.36,Yes
381,77,2021,3.67,3,90,90.45,No
382,77,2022,4.05,4,85,94.44,No
383,77,2023,3.72,3,81,87.31,Yes
384,77,2024,3.79,6,78,91.19,Yes
385,77,2025,3.68,9,79,85.83,Yes
386,78,2021,3.88,5,85,91.06,No
387,78,2022,3.76,5,70,97.50,No
388,78,2023,3.52,1,70,98.12,No
389,78,2024,3.97,9,74,94.84,Yes
390,78,2025,4.02,4,86,90.38,No
391,79,2021,3.96,10,48,94.19,No
392,79,2022,3.74,9,26,92.38,Yes
393,79,2023,4.16,6,34,91.72,Yes
394,79,2024,3.65,2,41,89.66,No
395,79,2025,3.58,7,39,98.27,No
396,80,2021,2.67,6,68,85.63,No
397,80,2022,2.87,10,74,95.19,No
398,80,2023,3.09,1,67,93.74,No
399,80,2024,2.44,6,70,96.04,Yes
400,80,2025,2.86,3,55,89.04,No
401,81,2021,4.42,5,34,86.27,Yes
402,81,2022,4.55,8,59,98.85,Yes
403,81,2023,4.32,9,31,87.87,Yes
404,81,2024,4.55,3,53,98.28,Yes
405,81,2025,4.38,4,50,86.89,No
406,82,2021,4.08,10,52,89.02,No
407,82,2022,4.35,7,67,85.02,No
408,82,2023,4.13,10,72,90.00,No
409,82,2024,3.96,3,69,87.28,No
410,82,2025,4.66,7,77,95.28,No
411,83,2021,3.08,2,43,97.99,No
412,83,2022,2.78,2,22,98.81,No
413,83,2023,2.52,7,19,93.80,Yes
414,83,2024,3.06,4,44,90.13,No
415,83,2025,3.01,5,49,87.49,No
416,84,2021,2.72,5,33,86.27,Yes
417,84,2022,2.57,5,37,96.61,Yes
418,84,2023,3.07,9,33,96.60,Yes
419,84,2024,3.12,8,38,92.23,No
420,84,2025,3.23,3,30,94.56,Yes
421,85,2021,3.45,4,47,85.71,No
422,85,2022,3.06,2,62,88.04,Yes
423,85,2023,3.20,9,70,88.72,Yes
424,85,2024,3.35,1,55,92.41,Yes
425,85,2025,3.37,8,47,91.06,Yes
426,86,2021,3.06,6,46,94.92,Yes
427,86,2022,2.54,3,74,86.13,No
428,86,2023,2.67,9,60,93.30,Yes
429,86,2024,2.89,6,74,95.05,No
430,86,2025,2.89,2,53,92.10,Yes
431,87,2021,2.95,2,25,85.55,Yes
432,87,2022,3.22,8,36,92.28,Yes
433,87,2023,3.11,10,41,93.04,No
434,87,2024,3.47,5,30,98.46,No
435,87,2025,3.26,7,46,92.64,No
436,88,2021,4.14,2,16,99.81,No
437,88,2022,4.16,2,33,88.40,No
438,88,2023,4.79,5,29,88.22,No
439,88,2024,4.22,6,15,85.92,No
440,88,2025,4.52,10,21,97.48,Yes
441,89,2021,4.03,8,66,98.59,No
442,89,2022,3.99,5,64,95.83,Yes
443,89,2023,3.88,7,54,99.37,No
444,89,2024,3.54,4,66,88.52,No
445,89,2025,4.11,1,64,92.19,No
446,90,2021,3.43,7,42,97.43,No
447,90,2022,3.51,1,15,93.11,Yes
448,90,2023,3.69,4,37,90.30,No
449,90,2024,3.70,4,26,96.33,No
450,90,2025,3.33,2,24,96.03,No
451,91,2021,4.56,10,37,99.76,No
452,91,2022,4.66,8,46,86.01,Yes
453,91,2023,4.32,5,19,88.64,No
454,91,2024,4.75,1,36,85.43,No
455,91,2025,4.90,6,25,96.93,Yes
456,92,2021,2.73,3,49,87.95,Yes
457,92,2022,2.36,5,29,92.24,No
458,92,2023,2.94,9,27,96.48,No
459,92,2024,3.04,3,40,91.50,Yes
460,92,2025,2.48,10,43,99.79,No
461,93,2021,4.29,9,75,91.22,No
462,93,2022,3.78,10,80,89.47,No
463,93,2023,4.26,3,82,90.29,Yes
464,93,2024,3.96,2,93,99.41,Yes
465,93,2025,4.16,5,95,96.77,No
466,94,2021,2.81,4,80,95.37,No
467,94,2022,3.58,8,73,92.48,No
468,94,2023,3.26,9,62,92.04,No
469,94,2024,3.08,10,67,91.19,No
470,94,2025,3.26,9,62,99.94,No
471,95,2021,3.52,7,66,97.58,No
472,95,2022,3.64,3,64,89.95,No
473,95,2023,3.34,5,72,99.50,Yes
474,95,2024,3.74,3,65,86.12,Yes
475,95,2025,3.70,7,62,95.52,No
476,96,2021,3.93,2,40,99.85,No
477,96,2022,4.11,9,57,89.45,No
478,96,2023,4.27,7,42,93.52,No
479,96,2024,4.09,3,36,87.47,No
480,96,2025,3.60,6,39,94.50,Yes
481,97,2021,3.78,5,24,87.25,No
482,97,2022,4.47,2,37,95.36,Yes
483,97,2023,3.94,2,31,92.44,Yes
484,97,2024,3.85,4,25,95.52,No
485,97,2025,4.38,2,36,94.94,Yes
486,98,2021,3.82,1,69,94.09,No
487,98,2022,3.88,2,93,96.53,Yes
488,98,2023,3.72,10,84,86.34,Yes
489,98,2024,3.87,1,84,90.34,No
490,98,2025,3.61,8,72,85.54,No
491,99,2021,2.80,7,19,95.14,No
492,99,2022,2.97,3,27,96.34,No
493,99,2023,3.26,10,16,99.60,Yes
494,99,2024,2.83,1,24,98.39,Yes
495,99,2025,2.88,10,36,99.69,No
496,100,2021,3.96,10,85,90.70,Yes
497,100,2022,3.58,8,63,96.27,No
498,100,2023,3.94,9,58,93.70,No
499,100,2024,3.86,1,86,98.45,Yes
500,100,2025,3.43,4,85,94.29,Yes
501,101,2021,2.77,3,37,94.76,Yes
502,101,2022,3.07,9,32,90.19,No
503,101,2023,3.45,9,31,91.83,No
504,101,2024,2.81,9,36,86.72,Yes
505,101,2025,3.44,7,30,96.61,Yes
506,102,2021,3.61,10,25,99.52,Yes
507,102,2022,3.49,1,30,88.75,Yes
508,102,2023,3.81,1,35,95.62,No
509,102,2024,3.79,4,23,87.69,No
510,102,2025,4.08,1,13,97.49,No
511,103,2021,2.49,1,36,91.33,No
512,103,2022,2.99,1,58,97.30,Yes
513,103,2023,2.38,4,63,90.40,Yes
514,103,2024,2.85,9,50,96.57,Yes
515,103,2025,2.91,5,62,91.47,No
516,104,2021,3.21,4,69,91.29,No
517,104,2022,3.43,7,70,95.62,Yes
518,104,2023,3.76,1,63,96.68,No
519,104,2024,3.28,3,68,93.87,No
520,104,2025,3.77,4,67,98.81,Yes
521,105,2021,3.86,5,68,85.16,No
522,105,2022,3.78,2,54,94.34,No
523,105,2023,3.66,6,63,91.04,Yes
524,105,2024,3.33,10,42,92.91,No
525,105,2025,3.65,9,44,92.40,No
526,106,2021,4.44,1,22,95.15,Yes
527,106,2022,4.23,8,45,94.90,Yes
528,106,2023,4.23,4,17,90.96,Yes
529,106,2024,4.11,10,20,86.99,No
530,106,2025,4.34,7,40,90.85,No
531,107,2021,2.58,2,34,96.56,Yes
532,107,2022,2.42,2,36,95.05,Yes
533,107,2023,2.53,5,21,92.42,No
534,107,2024,2.77,7,19,93.57,Yes
535,107,2025,2.89,7,45,94.77,No
536,108,2021,4.18,2,43,94.59,No
537,108,2022,4.52,8,45,98.37,No
538,108,2023,4.72,9,58,93.64,No
539,108,2024,4.42,8,46,94.57,Yes
540,108,2025,4.09,4,43,91.20,No
541,109,2021,3.40,5,41,93.37,Yes
542,109,2022,3.23,1,33,92.29,Yes
543,109,2023,3.32,5,33,87.89,No
544,109,2024,2.83,9,15,98.84,No
545,109,2025,2.96,9,15,96.52,No
546,110,2021,2.99,7,43,96.66,Yes
547,110,2022,3.36,5,39,97.38,No
548,110,2023,2.90,8,47,87.30,No
549,110,2024,3.31,5,36,88.19,Yes
550,110,2025,2.88,8,51,87.18,Yes
551,111,2021,2.81,2,40,85.70,No
552,111,2022,3.04,7,25,87.54,Yes
553,111,2023,2.50,9,14,93.64,Yes
554,111,2024,2.74,2,26,86.68,No
555,111,2025,3.07,10,43,93.59,Yes
556,112,2021,2.67,10,55,93.32,No
557,112,2022,2.95,4,60,95.46,Yes
558,112,2023,2.65,1,61,90.90,Yes
559,112,2024,2.79,8,61,93.17,Yes
560,112,2025,2.67,4,45,96.41,Yes
561,113,2021,4.38,4,50,87.87,No
562,113,2022,4.47,7,45,97.72,Yes
563,113,2023,3.90,3,41,89.44,Yes
564,113,2024,4.37,2,37,89.69,Yes
565,113,2025,4.01,6,35,96.55,Yes
566,114,2021,3.56,6,85,97.08,No
567,114,2022,3.26,5,83,94.04,No
568,114,2023,3.60,10,62,96.96,No
569,114,2024,2.97,6,78,90.02,No
570,114,2025,3.45,3,78,86.21,Yes
571,115,2021,4.33,5,41,93.86,Yes
572,115,2022,3.96,10,34,97.74,Yes
573,115,2023,3.67,6,31,93.44,No
574,115,2024,3.86,4,37,90.42,Yes
575,115,2025,3.71,9,57,91.36,No
576,116,2021,2.58,5,23,95.24,No
577,116,2022,2.77,1,34,92.67,No
578,116,2023,2.40,6,33,86.89,No
579,116,2024,2.88,1,22,94.82,Yes
580,116,2025,3.11,10,36,91.84,No
581,117,2021,4.44,3,49,89.28,Yes
582,117,2022,4.73,8,53,91.11,No
583,117,2023,4.54,8,48,85.11,Yes
584,117,2024,4.51,9,30,97.08,Yes
585,117,2025,4.41,10,41,99.28,Yes
586,118,2021,2.73,6,15,89.18,Yes
587,118,2022,3.17,8,27,92.55,No
588,118,2023,2.73,3,30,93.70,Yes
589,118,2024,2.82,8,28,96.04,No
590,118,2025,2.46,5,13,95.01,Yes
591,119,2021,4.23,4,64,95.81,No
592,119,2022,3.94,5,54,99.25,No
593,119,2023,4.29,8,73,87.74,No
594,119,2024,4.14,6,83,99.08,Yes
595,119,2025,4.45,5,76,85.60,No
596,120,2021,3.33,5,71,88.10,No
597,120,2022,3.95,8,78,94.66,No
598,120,2023,3.77,9,89,88.95,No
599,120,2024,3.64,3,87,91.65,Yes
600,120,2025,3.41,2,85,90.83,No
601,121,2021,4.41,3,77,99.48,No
602,121,2022,3.71,6,73,96.78,Yes
603,121,2023,4.19,9,51,89.32,Yes
604,121,2024,4.46,4,52,95.65,Yes
605,121,2025,3.76,4,53,90.90,No
606,122,2021,3.09,5,57,94.23,No
607,122,2022,3.73,8,56,92.17,No
608,122,2023,3.79,3,37,86.06,Yes
609,122,2024,3.12,9,53,90.44,Yes
610,122,2025,3.12,3,51,99.29,Yes
611,123,2021,3.08,3,87,85.47,No
612,123,2022,2.56,8,62,96.37,No
613,123,2023,3.15,6,60,98.82,No
614,123,2024,2.58,7,67,87.59,Yes
615,123,2025,3.08,4,63,94.99,Yes
616,124,2021,4.41,8,31,89.69,No
617,124,2022,4.64,10,31,95.82,No
618,124,2023,4.16,4,34,89.76,Yes
619,124,2024,4.76,2,37,92.53,Yes
620,124,2025,4.56,9,54,99.46,Yes
621,125,2021,3.77,10,30,89.43,Yes
622,125,2022,3.69,8,33,90.25,Yes
623,125,2023,3.47,5,46,85.78,Yes
624,125,2024,4.25,3,40,97.10,No
625,125,2025,3.59,7,34,87.94,Yes
626,126,2021,4.77,5,60,97.32,No
627,126,2022,4.75,8,50,98.13,Yes
628,126,2023,4.52,1,57,89.09,Yes
629,126,2024,4.79,7,50,91.97,Yes
630,126,2025,4.01,9,56,97.84,Yes
631,127,2021,3.45,10,41,88.84,Yes
632,127,2022,3.81,3,53,99.06,No
633,127,2023,3.12,5,38,89.54,No
634,127,2024,3.24,7,48,94.19,No
635,127,2025,3.86,8,56,97.34,No
